SortType	TabSize	TabType	PercentSort	SortTime	UserTime	SystemTime	Memory
insertion	80000	random	NULL	0.001091	0.00	0.00	2512
insertion	80000	partlysorted	0.50	0.001315	0.00	0.00	2516
insertion	80000	reversed	NULL	0.000570	0.00	0.00	2552
insertion	81000	random	NULL	0.000514	0.00	0.00	2520
insertion	81000	partlysorted	0.50	0.000516	0.00	0.00	2464
insertion	81000	reversed	NULL	0.000508	0.00	0.00	2524
insertion	82000	random	NULL	0.000384	0.00	0.00	2544
insertion	82000	partlysorted	0.50	0.000451	0.00	0.00	2484
insertion	82000	reversed	NULL	0.000567	0.00	0.00	2472
insertion	83000	random	NULL	0.000378	0.00	0.00	2468
insertion	83000	partlysorted	0.50	0.000373	0.00	0.00	2520
insertion	83000	reversed	NULL	0.000391	0.00	0.00	2544
insertion	84000	random	NULL	0.000614	0.00	0.00	2592
insertion	84000	partlysorted	0.50	0.000442	0.00	0.00	2440
insertion	84000	reversed	NULL	0.000437	0.00	0.00	2544
insertion	85000	random	NULL	0.000374	0.00	0.00	2484
insertion	85000	partlysorted	0.50	0.000428	0.00	0.00	2572
insertion	85000	reversed	NULL	0.000749	0.00	0.00	2560
insertion	86000	random	NULL	0.000413	0.00	0.00	2624
insertion	86000	partlysorted	0.50	0.000407	0.00	0.00	2516
insertion	86000	reversed	NULL	0.000423	0.00	0.00	2468
insertion	87000	random	NULL	0.000906	0.00	0.00	2520
insertion	87000	partlysorted	0.50	0.000446	0.00	0.00	2592
insertion	87000	reversed	NULL	0.000399	0.00	0.00	2520
insertion	88000	random	NULL	0.000452	0.00	0.00	2516
insertion	88000	partlysorted	0.50	0.000516	0.00	0.00	2540
insertion	88000	reversed	NULL	0.000404	0.00	0.00	2540
insertion	89000	random	NULL	0.000429	0.00	0.00	2560
insertion	89000	partlysorted	0.50	0.000406	0.00	0.00	2520
insertion	89000	reversed	NULL	0.000410	0.00	0.00	2444
insertion	90000	random	NULL	0.000654	0.00	0.00	2464
insertion	90000	partlysorted	0.50	0.000421	0.00	0.00	2520
insertion	90000	reversed	NULL	0.000412	0.00	0.00	2524
insertion	91000	random	NULL	0.000542	0.00	0.00	2548
insertion	91000	partlysorted	0.50	0.000524	0.00	0.00	2568
insertion	91000	reversed	NULL	0.000412	0.00	0.00	2544
insertion	92000	random	NULL	0.000418	0.00	0.00	2448
insertion	92000	partlysorted	0.50	0.000420	0.00	0.00	2520
insertion	92000	reversed	NULL	0.000421	0.00	0.00	2524
insertion	93000	random	NULL	0.000455	0.00	0.00	2548
insertion	93000	partlysorted	0.50	0.000585	0.00	0.00	2472
insertion	93000	reversed	NULL	0.000450	0.00	0.00	2488
insertion	94000	random	NULL	0.000465	0.00	0.00	2468
insertion	94000	partlysorted	0.50	0.000427	0.00	0.00	2596
insertion	94000	reversed	NULL	0.000453	0.00	0.00	2476
insertion	95000	random	NULL	0.000519	0.00	0.00	3080
insertion	95000	partlysorted	0.50	0.000450	0.00	0.00	3080
insertion	95000	reversed	NULL	0.000438	0.00	0.00	2524
insertion	96000	random	NULL	0.000463	0.00	0.00	2852
insertion	96000	partlysorted	0.50	0.000440	0.00	0.00	2880
insertion	96000	reversed	NULL	0.000439	0.00	0.00	2968
insertion	97000	random	NULL	0.000498	0.00	0.00	2736
insertion	97000	partlysorted	0.50	0.000498	0.00	0.00	2812
insertion	97000	reversed	NULL	0.000452	0.00	0.00	2804
insertion	98000	random	NULL	0.000441	0.00	0.00	2748
insertion	98000	partlysorted	0.50	0.000502	0.00	0.00	2784
insertion	98000	reversed	NULL	0.000448	0.00	0.00	2784
insertion	99000	random	NULL	0.000479	0.00	0.00	2744
insertion	99000	partlysorted	0.50	0.000467	0.00	0.00	2780
insertion	99000	reversed	NULL	0.000570	0.00	0.00	2788
insertion	100000	random	NULL	0.000465	0.00	0.00	2820
insertion	100000	partlysorted	0.50	0.000529	0.00	0.00	2712
insertion	100000	reversed	NULL	0.000457	0.00	0.00	2740
merge	80000	random	NULL	0.012794	0.01	0.00	3104
merge	80000	partlysorted	0.50	0.013005	0.01	0.00	3212
merge	80000	reversed	NULL	0.014448	0.01	0.00	3184
merge	81000	random	NULL	0.012833	0.01	0.00	3056
merge	81000	partlysorted	0.50	0.013022	0.01	0.00	3156
merge	81000	reversed	NULL	0.013150	0.01	0.00	3136
merge	82000	random	NULL	0.013174	0.01	0.00	3056
merge	82000	partlysorted	0.50	0.013056	0.01	0.00	3108
merge	82000	reversed	NULL	0.015990	0.01	0.00	3128
merge	83000	random	NULL	0.013307	0.01	0.00	2980
merge	83000	partlysorted	0.50	0.013228	0.01	0.00	3108
merge	83000	reversed	NULL	0.013584	0.01	0.00	3060
merge	84000	random	NULL	0.012814	0.01	0.00	3108
merge	84000	partlysorted	0.50	0.012064	0.01	0.00	2976
merge	84000	reversed	NULL	0.013566	0.01	0.00	3104
merge	85000	random	NULL	0.012596	0.01	0.00	3056
merge	85000	partlysorted	0.50	0.012158	0.01	0.00	3064
merge	85000	reversed	NULL	0.014097	0.01	0.00	3072
merge	86000	random	NULL	0.012993	0.01	0.00	3668
merge	86000	partlysorted	0.50	0.012434	0.01	0.00	3056
merge	86000	reversed	NULL	0.014546	0.01	0.00	3132
merge	87000	random	NULL	0.012887	0.01	0.00	3368
merge	87000	partlysorted	0.50	0.013553	0.01	0.00	3424
merge	87000	reversed	NULL	0.014724	0.01	0.00	3412
merge	88000	random	NULL	0.013547	0.01	0.00	3320
merge	88000	partlysorted	0.50	0.013591	0.01	0.00	3328
merge	88000	reversed	NULL	0.014093	0.01	0.00	3368
merge	89000	random	NULL	0.013971	0.01	0.00	3448
merge	89000	partlysorted	0.50	0.013084	0.01	0.00	3328
merge	89000	reversed	NULL	0.013552	0.01	0.00	3396
merge	90000	random	NULL	0.013838	0.01	0.00	3364
merge	90000	partlysorted	0.50	0.013740	0.01	0.00	3372
merge	90000	reversed	NULL	0.014907	0.01	0.00	3248
merge	91000	random	NULL	0.014015	0.01	0.00	3480
merge	91000	partlysorted	0.50	0.014574	0.01	0.00	3424
merge	91000	reversed	NULL	0.013796	0.01	0.00	3448
merge	92000	random	NULL	0.013812	0.01	0.00	3316
merge	92000	partlysorted	0.50	0.014814	0.01	0.00	3420
merge	92000	reversed	NULL	0.014516	0.01	0.00	3372
merge	93000	random	NULL	0.014309	0.01	0.00	3328
merge	93000	partlysorted	0.50	0.014124	0.01	0.00	3396
merge	93000	reversed	NULL	0.013344	0.01	0.00	3248
merge	94000	random	NULL	0.014925	0.01	0.00	3316
merge	94000	partlysorted	0.50	0.014728	0.01	0.00	3316
merge	94000	reversed	NULL	0.017005	0.01	0.00	3328
merge	95000	random	NULL	0.013667	0.01	0.00	3372
merge	95000	partlysorted	0.50	0.013266	0.01	0.00	3444
merge	95000	reversed	NULL	0.014927	0.01	0.00	3376
merge	96000	random	NULL	0.014849	0.01	0.00	3320
merge	96000	partlysorted	0.50	0.015605	0.01	0.00	3276
merge	96000	reversed	NULL	0.014621	0.01	0.00	3276
merge	97000	random	NULL	0.014657	0.01	0.00	3444
merge	97000	partlysorted	0.50	0.018390	0.02	0.00	3320
merge	97000	reversed	NULL	0.015330	0.00	0.00	3376
merge	98000	random	NULL	0.013805	0.01	0.00	3584
merge	98000	partlysorted	0.50	0.014430	0.01	0.00	3716
merge	98000	reversed	NULL	0.014747	0.01	0.00	3700
merge	99000	random	NULL	0.014395	0.01	0.00	3508
merge	99000	partlysorted	0.50	0.014052	0.01	0.00	3712
merge	99000	reversed	NULL	0.014527	0.01	0.00	3680
merge	100000	random	NULL	0.015218	0.01	0.00	3588
merge	100000	partlysorted	0.50	0.015836	0.01	0.00	3508
merge	100000	reversed	NULL	0.015770	0.01	0.00	3512
quick	80000	random	NULL	11.461747	11.46	0.00	6220
quick	80000	partlysorted	0.50	11.416905	11.41	0.00	6136
quick	80000	reversed	NULL	11.570095	11.54	0.02	6296
quick	81000	random	NULL	11.832281	11.80	0.03	6220
quick	81000	partlysorted	0.50	11.805166	11.80	0.00	6224
quick	81000	reversed	NULL	11.733352	11.73	0.00	6308
quick	82000	random	NULL	12.016654	12.01	0.00	6380
quick	82000	partlysorted	0.50	12.061698	12.06	0.00	6304
quick	82000	reversed	NULL	12.018243	12.00	0.01	6148
quick	83000	random	NULL	12.338988	12.33	0.00	6696
quick	83000	partlysorted	0.50	12.401509	12.39	0.00	6716
quick	83000	reversed	NULL	12.366087	12.35	0.01	6728
quick	84000	random	NULL	12.633196	12.62	0.01	6556
quick	84000	partlysorted	0.50	12.579966	12.54	0.03	6492
quick	84000	reversed	NULL	12.727868	12.72	0.00	6532
quick	85000	random	NULL	12.945184	12.94	0.00	6580
quick	85000	partlysorted	0.50	13.038407	13.03	0.00	6488
quick	85000	reversed	NULL	13.209034	13.20	0.00	6532
quick	86000	random	NULL	13.224868	13.22	0.00	6480
quick	86000	partlysorted	0.50	13.382422	13.38	0.00	6480
quick	86000	reversed	NULL	13.234255	13.23	0.00	6584
quick	87000	random	NULL	13.495820	13.49	0.00	6536
quick	87000	partlysorted	0.50	13.451997	13.44	0.00	6540
quick	87000	reversed	NULL	13.482756	13.48	0.00	6540
quick	88000	random	NULL	14.691414	14.68	0.00	6748
quick	88000	partlysorted	0.50	13.381152	13.37	0.00	6744
quick	88000	reversed	NULL	13.316922	13.31	0.00	6756
quick	89000	random	NULL	13.626398	13.62	0.00	6804
quick	89000	partlysorted	0.50	14.163479	14.16	0.00	6752
quick	89000	reversed	NULL	14.378812	14.37	0.00	6804
quick	90000	random	NULL	15.186119	15.18	0.00	6804
quick	90000	partlysorted	0.50	14.491289	14.48	0.00	6844
quick	90000	reversed	NULL	14.007190	14.00	0.00	6808
quick	91000	random	NULL	14.236643	14.22	0.01	6756
quick	91000	partlysorted	0.50	14.237338	14.22	0.01	6832
quick	91000	reversed	NULL	14.261126	14.25	0.00	6824
quick	92000	random	NULL	14.615059	14.61	0.00	6940
quick	92000	partlysorted	0.50	14.568758	14.56	0.00	7016
quick	92000	reversed	NULL	14.616604	14.61	0.00	7148
quick	93000	random	NULL	14.935775	14.93	0.00	7068
quick	93000	partlysorted	0.50	15.333503	15.32	0.01	7088
quick	93000	reversed	NULL	14.788132	14.78	0.00	7100
quick	94000	random	NULL	15.715716	15.71	0.00	7176
quick	94000	partlysorted	0.50	15.021098	15.01	0.00	7068
quick	94000	reversed	NULL	15.045735	15.04	0.00	7020
quick	95000	random	NULL	15.341538	15.34	0.00	7036
quick	95000	partlysorted	0.50	15.351042	15.34	0.00	7064
quick	95000	reversed	NULL	15.359227	15.34	0.01	7064
quick	96000	random	NULL	15.681786	15.67	0.01	7336
quick	96000	partlysorted	0.50	15.749777	15.74	0.00	7284
quick	96000	reversed	NULL	15.826516	15.81	0.01	7412
quick	97000	random	NULL	16.128275	16.12	0.00	7332
quick	97000	partlysorted	0.50	16.132932	16.10	0.02	7200
quick	97000	reversed	NULL	16.104497	16.10	0.00	7296
quick	98000	random	NULL	16.427634	16.42	0.00	7372
quick	98000	partlysorted	0.50	16.619895	16.62	0.00	7440
quick	98000	reversed	NULL	16.472092	16.46	0.00	7296
quick	99000	random	NULL	16.812784	16.81	0.00	7360
quick	99000	partlysorted	0.50	16.823287	16.82	0.00	7232
quick	99000	reversed	NULL	16.941705	16.94	0.00	7276
quick	100000	random	NULL	17.082998	17.08	0.00	7784
quick	100000	partlysorted	0.50	16.968083	16.95	0.01	7716
quick	100000	reversed	NULL	17.015436	17.01	0.00	7756
